ClaimID,PolicyID,ClaimAmount,Status,FiledDate
1,265,9121.81,Rejected,10/7/2024
2,28,3422,Rejected,9/22/2024
3,262,9644.85,Filed,9/22/2023
4,349,9671.21,Rejected,11/1/2023
5,133,18249.46,Filed,9/12/2024
6,171,5301.22,Filed,7/27/2024
7,273,12909.3,Approved,11/11/2023
8,170,11377.71,Filed,9/6/2024
9,96,10629.91,Rejected,6/26/2023
10,241,8415.06,Filed,6/26/2023
11,229,3980.88,Approved,2/2/2025
12,454,8928.91,Filed,1/16/2024
13,126,17674.33,Filed,5/27/2025
14,1,15488.54,Rejected,1/2/2024
15,483,16123.72,Filed,6/16/2025
16,412,11034.62,Filed,4/28/2025
17,431,5476.47,Filed,11/14/2024
18,245,2641.86,Rejected,10/21/2023
19,138,13759,Rejected,2/3/2025
20,290,9453.11,Approved,10/30/2023
21,8,17054.25,Filed,12/15/2024
22,310,10058.08,Approved,5/13/2025
23,137,19023.26,Approved,1/6/2024
24,26,16235.1,Rejected,1/11/2025
25,243,13540.18,Filed,8/11/2023
26,328,4298.98,Approved,2/4/2025
27,118,16196.5,Approved,4/14/2024
28,55,2842.33,Approved,2/3/2025
29,321,7353.3,Approved,5/31/2025
30,323,1571.93,Filed,3/14/2025
31,486,9346.12,Rejected,5/6/2024
32,373,4505.6,Filed,7/25/2024
33,186,11496.8,Filed,3/23/2024
34,118,18567.63,Rejected,11/20/2023
35,499,13389.12,Filed,12/17/2023
36,305,7664.24,Filed,12/31/2023
37,39,15599.89,Rejected,11/12/2023
38,318,7142.41,Rejected,10/8/2023
39,430,16377.78,Approved,11/19/2023
40,412,3420.9,Filed,2/17/2024
41,135,7220.92,Filed,7/17/2024
42,426,16478.6,Rejected,12/6/2023
43,217,1553.91,Approved,8/19/2024
44,402,2424.22,Rejected,8/14/2023
45,440,5120.25,Approved,3/4/2024
46,197,16347.97,Filed,9/22/2024
47,337,17611.18,Filed,9/7/2024
48,197,15489.9,Approved,2/23/2025
49,28,18661.74,Rejected,1/17/2024
50,449,2138.35,Approved,10/20/2024
51,149,1531.56,Filed,11/13/2023
52,46,11267.49,Filed,6/6/2025
53,283,14870.53,Filed,5/6/2024
54,424,14257.13,Filed,11/15/2023
55,338,6584.44,Approved,1/23/2024
56,21,9632.4,Filed,2/27/2024
57,140,4840.68,Rejected,3/5/2025
58,290,17871.58,Filed,2/18/2025
59,165,5277.31,Approved,3/24/2025
60,98,15034.86,Approved,4/22/2025
61,222,3073.55,Rejected,6/12/2024
62,184,3969.77,Approved,3/11/2025
63,334,14478.04,Filed,8/6/2024
64,128,18699.39,Filed,4/6/2025
65,151,17691.2,Filed,8/8/2024
66,71,8881.34,Rejected,3/9/2025
67,290,3531.65,Approved,11/29/2023
68,190,11251.04,Filed,4/29/2025
69,168,18977.46,Filed,2/22/2025
70,242,5557.43,Filed,11/3/2023
71,435,19299.34,Rejected,4/1/2025
72,487,12711.33,Rejected,5/19/2024
73,280,7153.23,Filed,12/23/2023
74,367,18592.31,Rejected,4/14/2025
75,138,7175.82,Approved,10/4/2024
76,262,12957.42,Approved,12/10/2024
77,225,1981.14,Rejected,2/27/2025
78,437,5089.26,Filed,6/2/2025
79,318,8121.28,Rejected,3/8/2025
80,341,12205.22,Approved,9/24/2023
81,290,2971.19,Rejected,12/2/2023
82,125,12293.17,Approved,11/7/2024
83,446,5878.66,Rejected,7/8/2024
84,397,19551.52,Approved,6/30/2024
85,316,5135.66,Approved,12/5/2024
86,334,14202.22,Approved,7/9/2024
87,169,9636.86,Rejected,12/8/2024
88,135,5758.5,Rejected,8/30/2023
89,369,2177.18,Filed,12/10/2023
90,415,15256.07,Filed,10/18/2023
91,246,16514.45,Approved,6/30/2024
92,59,17690.57,Approved,11/8/2023
93,336,8337.26,Approved,8/2/2023
94,472,14061.24,Rejected,6/21/2025
95,346,18679.4,Rejected,9/21/2023
96,217,1248.77,Filed,7/17/2024
97,40,10645.47,Approved,3/21/2025
98,210,16866.46,Filed,3/4/2025
99,17,10702.98,Rejected,5/9/2025
100,365,12409.27,Filed,6/1/2024
101,356,13311.51,Filed,12/24/2024
102,243,11032.68,Filed,2/21/2025
103,57,1834.98,Approved,3/30/2024
104,2,10664.23,Rejected,11/14/2024
105,138,6265.98,Approved,6/13/2025
106,131,7002.58,Filed,10/18/2024
107,397,19834.59,Rejected,4/4/2024
108,69,7633.17,Approved,7/8/2023
109,69,2698.37,Rejected,6/1/2025
110,33,11694.03,Approved,2/17/2025
111,39,19205.16,Filed,2/14/2024
112,4,11797.04,Approved,6/26/2024
113,372,14039.09,Filed,9/26/2023
114,206,7718.39,Rejected,5/26/2025
115,328,18781.32,Filed,5/15/2024
116,209,7487.21,Filed,12/13/2023
117,154,16305.08,Filed,11/26/2023
118,349,17681.02,Filed,3/24/2025
119,436,1003,Rejected,5/19/2024
120,263,11301.06,Rejected,4/15/2024
121,335,19503.55,Approved,2/11/2024
122,329,9005.73,Rejected,8/25/2024
123,404,3029.41,Filed,10/15/2024
124,235,18034.56,Filed,9/23/2023
125,82,4396.29,Approved,8/9/2023
126,167,18899.9,Approved,3/27/2024
127,404,12009.69,Rejected,3/9/2025
128,351,4608.22,Approved,3/25/2024
129,289,5401.24,Approved,8/18/2023
130,275,11612.33,Rejected,5/11/2025
131,23,14700.92,Approved,2/18/2024
132,103,3719.35,Approved,3/20/2024
133,442,18564.13,Rejected,8/3/2023
134,436,2370.62,Rejected,1/14/2024
135,312,14722.94,Filed,9/24/2023
136,230,19191.15,Approved,1/27/2024
137,127,2679.68,Filed,6/11/2025
138,407,4230.03,Approved,12/26/2023
139,354,16402.26,Approved,12/23/2024
140,338,7049.66,Rejected,5/31/2024
141,113,4960.02,Rejected,11/9/2023
142,161,3171.96,Approved,8/17/2023
143,342,2292.47,Approved,2/21/2025
144,295,6207.56,Rejected,12/5/2024
145,11,10402.73,Approved,11/18/2023
146,446,17160.43,Filed,2/25/2025
147,117,12165.2,Rejected,10/21/2024
148,417,16828.58,Rejected,2/25/2024
149,275,19483.13,Filed,10/12/2024
150,269,19399.57,Filed,9/11/2023
151,50,15374.55,Rejected,8/11/2024
152,385,1892.45,Approved,1/2/2025
153,438,15678.91,Rejected,3/25/2025
154,17,7159.07,Rejected,9/13/2024
155,472,7906.14,Approved,11/10/2023
156,275,13507.34,Rejected,5/28/2025
157,351,9799.98,Filed,4/15/2025
158,129,3737.84,Filed,11/22/2024
159,355,9321.83,Approved,3/15/2024
160,209,12271.14,Approved,12/4/2023
161,245,14590.02,Filed,12/21/2023
162,431,8091.6,Approved,11/15/2023
163,301,8454.49,Filed,11/9/2023
164,461,16555.37,Approved,11/17/2024
165,402,1144.01,Rejected,2/13/2024
166,325,9921.45,Approved,9/8/2024
167,430,3414.26,Rejected,6/19/2025
168,15,7854.65,Filed,1/2/2025
169,80,3201.5,Rejected,3/4/2025
170,498,16508.48,Approved,12/13/2024
171,93,12457.02,Rejected,6/27/2024
172,460,8335.44,Rejected,10/11/2023
173,394,14077.39,Approved,5/25/2024
174,118,6037.12,Rejected,12/11/2023
175,289,17514.21,Rejected,12/29/2023
176,414,6045.36,Approved,6/28/2024
177,278,7167.3,Rejected,11/12/2023
178,150,6521.32,Filed,9/27/2024
179,323,13432.58,Rejected,2/27/2025
180,490,13556.41,Rejected,6/8/2024
181,270,11912.86,Rejected,7/22/2023
182,498,12502.28,Filed,12/21/2024
183,75,2336.01,Filed,7/6/2023
184,344,16727.91,Rejected,12/8/2024
185,118,4583.71,Filed,10/7/2023
186,472,6280.43,Filed,7/8/2024
187,49,10088.98,Approved,9/22/2023
188,108,6693.35,Rejected,9/4/2024
189,273,15799.94,Approved,3/8/2024
190,129,17530.27,Rejected,4/17/2025
191,8,6381.07,Approved,7/30/2023
192,87,5905.94,Approved,11/30/2023
193,351,15551.67,Rejected,4/9/2025
194,150,19941.89,Filed,7/24/2024
195,208,18703.09,Filed,4/30/2024
196,218,14770.69,Rejected,12/10/2024
197,369,15275.77,Approved,5/4/2025
198,432,2809.13,Filed,1/19/2025
199,28,2185.65,Filed,7/23/2024
200,226,12137.69,Approved,11/14/2024
201,429,17771.2,Approved,4/19/2025
202,409,3375.39,Filed,5/6/2025
203,384,18285.14,Approved,5/19/2025
204,412,17598.98,Approved,4/13/2024
205,11,8123.21,Rejected,10/13/2023
206,388,10511.69,Rejected,9/2/2023
207,426,11171.81,Approved,10/30/2023
208,215,12276.35,Filed,4/26/2025
209,386,3503.6,Rejected,8/17/2024
210,342,12048.54,Rejected,9/28/2023
211,255,1990.48,Rejected,1/31/2024
212,258,1221.79,Filed,4/29/2025
213,142,3856.96,Filed,5/27/2025
214,245,7260.6,Filed,8/26/2023
215,493,15346.24,Rejected,3/17/2025
216,228,17553.81,Filed,12/10/2024
217,78,8205.4,Rejected,9/6/2024
218,217,15722.25,Approved,11/8/2023
219,477,9454.88,Approved,3/10/2025
220,318,6986.99,Rejected,8/12/2023
221,357,19250.61,Approved,11/29/2023
222,499,2178.82,Rejected,9/7/2023
223,167,14576.19,Filed,1/15/2024
224,271,8060.28,Rejected,12/18/2023
225,166,15418.41,Rejected,9/1/2023
226,35,14526.18,Rejected,11/9/2023
227,200,7652.83,Approved,11/17/2023
228,460,10430.5,Rejected,11/24/2023
229,87,19223.53,Filed,2/24/2025
230,226,2238.09,Rejected,4/3/2024
231,489,17195.29,Filed,1/28/2025
232,208,2762.07,Filed,9/7/2024
233,263,8960.07,Filed,1/31/2025
234,341,12115.71,Rejected,11/27/2023
235,124,17303.68,Rejected,8/21/2023
236,383,16202.79,Filed,5/12/2025
237,452,1514.86,Filed,12/9/2024
238,396,9303.54,Rejected,10/9/2024
239,334,17653.27,Approved,3/30/2024
240,237,2486.36,Filed,8/23/2023
241,69,13652.23,Rejected,5/17/2025
242,47,14318.25,Rejected,7/10/2024
243,209,4967.04,Rejected,6/28/2023
244,452,2711.11,Filed,1/25/2025
245,432,1674.51,Rejected,1/21/2024
246,496,19253.59,Approved,2/29/2024
247,450,3728.53,Approved,11/10/2023
248,329,18482.08,Rejected,9/26/2023
249,59,13695.86,Filed,5/22/2025
250,488,15202.25,Rejected,6/12/2024
251,309,17402.29,Filed,12/30/2024
252,4,7528.39,Filed,2/18/2025
253,480,11241.4,Rejected,4/6/2024
254,195,4140.48,Approved,5/9/2024
255,2,6334.26,Approved,4/26/2024
256,194,2754.67,Filed,1/31/2025
257,18,9260.39,Rejected,9/12/2023
258,467,18812,Filed,3/28/2025
259,294,7603.6,Rejected,8/26/2024
260,439,2293.13,Approved,11/26/2023
261,47,11054.8,Filed,9/3/2024
262,367,3821.79,Rejected,5/27/2024
263,278,9188.91,Filed,1/31/2025
264,220,19826.88,Filed,12/15/2024
265,154,7775.9,Rejected,1/20/2024
266,40,11515.06,Rejected,9/22/2024
267,246,11622.59,Filed,10/15/2024
268,492,5316.85,Approved,9/5/2023
269,155,15293.35,Filed,8/3/2024
270,198,13276.84,Filed,9/14/2024
271,174,2246.45,Filed,8/22/2023
272,389,13552,Rejected,3/29/2025
273,199,17625.17,Rejected,9/4/2023
274,494,12456.93,Filed,6/20/2024
275,67,6919.33,Approved,1/13/2024
276,418,14565.54,Filed,1/30/2025
277,80,2533.75,Rejected,11/11/2024
278,405,12876.44,Filed,1/6/2024
279,405,16294.28,Rejected,3/22/2025
280,233,4929.57,Filed,9/14/2023
281,350,8339.85,Filed,1/16/2024
282,333,4034.67,Rejected,8/4/2023
283,302,9433.9,Rejected,7/11/2024
284,184,18997.21,Filed,6/12/2025
285,240,15109.73,Approved,10/29/2023
286,189,9277.63,Rejected,12/31/2023
287,381,14117.83,Rejected,5/16/2025
288,470,6639.03,Filed,7/21/2024
289,12,11451.77,Approved,1/28/2025
290,190,3620.09,Approved,12/1/2024
291,65,19400.26,Approved,1/21/2025
292,312,19818.29,Rejected,11/14/2023
293,4,4667.72,Approved,5/22/2025
294,135,12103.63,Rejected,4/6/2025
295,41,4673.19,Filed,6/27/2024
296,482,1443.08,Rejected,3/27/2025
297,263,17425.29,Approved,10/12/2024
298,375,7067.47,Filed,12/25/2024
299,366,18430.37,Approved,3/11/2024
